id,code,name,distrito_id
881,3,Alpes,73
882,4,Arias,73
883,5,Brisa,73
884,6,Cedros,73
885,7,Corazón de Jesús,73
886,8,Durazno,73
887,9,Girasoles (parte),73
888,10,Huacas,73
889,11,Magnolias,73
890,12,Mercedes,73
891,13,Monte Azul,73
892,14,San Francisco,73
893,15,San Martín,73
894,16,Villa Solidarista,73
895,1,SAN RAFAEL centro,74
896,2,Fanguillo,74
897,3,I Griega,74
898,4,Loma Bonita,74
899,5,Nubes,74
900,6,Patio de Agua,74
901,7,Villa Emaus,74
902,1,DULCE NOMBRE DE JESÚS centro,75
903,2,Calera,75
904,3,Carmen,75
905,4,Gemelas,75
906,5,Josué,75
907,6,Manzanos,75
908,7,Murtal,75
909,8,Sitrae,75
910,9,Valle Felíz,75
911,10,Alto Palma (parte),75
912,11,Platanares,75
913,12,Rodeo (parte),75
914,1,SAN ANTONIO,76
915,2,Cornelia,76
916,3,Girasoles (parte),76
917,4,Horizontes,76
918,5,Irazú,76
919,6,Jardines,76
920,7,Labrador,76
921,8,Patalillo,76
922,9,Santa Marta,76
923,10,Trapiche,76
924,11,Villalinda,76
925,12,Villanova,76
926,1,SAN PEDRO,77
927,2,Avilés,77
928,3,Cerro Indio,77
929,4,Guaba,77
930,5,Rojizo,77
931,6,Sinaí,77
932,7,Canoa,77
933,8,Cascajal,77
934,9,Choco,77
935,10,Isla,77
936,11,Monserrat,77
937,12,Patillos,77
938,13,Rodeo (parte),77
939,14,Santa Rita de Casia,77
940,15,Tierras Morenas,77
941,16,Vegas de Cajón,77
942,17,Venita,77
943,1,SAN IGNACIO centro,78
944,2,Abarca,78
945,3,Corral,78
946,4,María Auxiliadora,78
947,5,Ortiga,78
948,6,Pozos,78
949,7,San Martín (San Gerardo),78
950,8,San Luis,78
951,9,Turrujal,78
952,10,Vereda,78
953,11,Aguablanca (parte),78
954,12,Alto Escalera,78
955,13,Alto Los Mora,78
956,14,Ángeles,78
957,15,Chirraca (parte),78
958,16,Esperanza,78
959,17,Potrerillos,78
960,18,Resbalón,78
961,19,Tablazo,78
962,1,GUAITIL centro,79
963,2,Alto Sierra,79
964,3,Alto Vigía,79
965,4,Bajo Arias,79
966,5,Bajo Bermúdez,79
967,6,Bajo Calvo,79
968,7,Bajo Cárdenas,79
969,8,Bajo Moras,79
970,9,Coyolar,79
971,10,Hondonada,79
972,11,La Cruz,79
973,12,Lagunillas (parte),79
974,13,Ococa,79
975,14,Toledo,79
976,15,Zapote,79
977,1,PALMICHAL centro,80
978,2,San Pablo,80
979,3,Agua Blanca (parte),80
980,4,Bajo Cerdas,80
981,5,Bajos de Jorco,80
982,6,Bolívar,80
983,7,Cañadas,80
984,8,Caragral,80
985,9,Corazón de Jesús,80
986,10,Charcalillo,80
987,11,Chirraca (parte),80
988,12,Fila,80
989,13,Jaular,80
990,14,Lagunillas (parte),80
991,15,La Mina,80
992,16,La Pita,80
993,17,Los Monge,80
994,18,Playa,80
995,20,Sevilla,80
996,1,CANGREJAL centro,81
997,2,Bajo Los Cruces,81
998,3,Ceiba Alta (parte),81
999,4,Ceiba Baja,81
1000,5,Ceiba Este,81
1001,6,Escuadra,81
1002,7,Gravilias,81
1003,8,Lindavista,81
1004,9,Llano Bonito,81
1005,10,Mesa,81
1006,11,Naranjal,81
1007,12,Perpetuo Socorro,81
1008,13,Tejar,81
1009,14,Tiquires,81
1010,1,SABANILLAS centro,82
1011,2,Alto Parritón,82
1012,3,Bajo Palma,82
1013,4,Bajo Pérez,82
1014,5,Bijagual,82
1015,6,Breñón,82
1016,7,Caspirola,82
1017,8,Colorado,82
1018,9,Cuesta Aguacate,82
1019,10,Limas,82
1020,11,Parritón,82
1021,12,Plomo,82
1022,13,Sabanas,82
1023,14,San Jerónimo,82
1024,15,Soledad,82
1025,16,Téruel,82
1026,17,Tiquiritos,82
1027,18,Uruca,82
1028,19,Zoncuano,82
1029,1,SAN JUAN centro,83
1030,2,Acacias,83
1031,3,Arboleda,83
1032,4,Asturias,83
1033,5,Estudiantes,83
1034,6,Florida,83
1035,7,González Truque,83
1036,8,Jesús Jiménez Zamora,83
1037,9,Lindavista,83
1038,10,Rosas,83
1039,11,San Jerónimo,83
1040,12,Santa Eduvigis,83
1041,13,Valle,83
1042,14,Versalles,83
1043,15,Villafranca,83
1044,16,Virginia,83
1045,1,CINCO ESQUINAS centro,84
1046,2,Bajo Piuses,84
1047,3,Copey,84
1048,4,Leiva Urcuyo,84
1049,5,Lilas,84
1050,6,Lomas del Pinar,84
1051,7,Montecarlo,84
1052,8,Santa Teresa,84
1053,1,ANSELMO LLORENTE centro,85
